D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10062|2022|Hyundai|Palisade|SUV|Silver|16342|42995.00
10063|2016|Toyota|Avalon|Sedan|Blue|104532|18995.00
10064|2011|Kia|Rio|Sedan|Red|165432|5495.00
10065|2019|Honda|Ridgeline|Truck|Gray|62311|31995.00
10066|2015|Ford|Explorer|SUV|White|121221|17995.00
10067|2008|Chevrolet|Cobalt|Sedan|Black|202112|3495.00
10068|2020|Jeep|Grand Cherokee|SUV|Green|45111|32995.00
10069|2017|Ram|3500|Truck|Silver|95342|38995.00
10070|2012|Mazda|6|Sedan|Blue|132211|8995.00
10071|2018|Toyota|Corolla|Sedan|Gray|67234|17995.00
10072|2014|Honda|Pilot|SUV|Black|128211|15995.00
10073|2009|Ford|Escape|SUV|Red|174332|5995.00
10074|2021|Chevrolet|Blazer|SUV|White|29121|33995.00
10075|2015|Subaru|Impreza|Sedan|Blue|116221|11995.00
10076|2011|Volkswagen|Beetle|Coupe|Yellow|147321|7995.00
10077|2019|Nissan|Pathfinder|SUV|Silver|58421|26995.00
10078|2016|Toyota|Sequoia|SUV|Black|108321|29995.00
10079|2013|Ford|Taurus|Sedan|Gray|139876|8995.00
10080|2020|Honda|HR-V|SUV|Blue|43112|24995.00
10081|2017|Chevrolet|Suburban|SUV|White|97432|32995.00
10082|2006|Jeep|Commander|SUV|Green|233221|3995.00
10083|2018|Hyundai|Kona|SUV|Orange|64123|20995.00
10084|2012|Mazda|CX-7|SUV|Silver|144876|9995.00
10085|2021|Ford|Bronco Sport|SUV|Gray|25112|35995.00
10086|2015|Toyota|Yaris|Hatchback|Blue|121342|9995.00
10087|2010|Honda|Element|SUV|Black|161221|7995.00
10088|2019|Kia|Telluride|SUV|White|48211|38995.00
10089|2014|Chevrolet|Spark|Hatchback|Green|132998|6995.00
10090|2017|Ram|ProMaster|Van|Silver|89322|24995.00
10091|2011|Subaru|Tribeca|SUV|Gray|158221|7495.00
10092|2022|Toyota|Venza|SUV|Blue|17221|37995.00
10093|2016|Ford|Transit|Van|White|112432|21995.00
10094|2013|Honda|Crosstour|SUV|Black|141998|9995.00
10095|2009|Nissan|Versa|Sedan|Silver|184221|4495.00
10096|2020|Mazda|CX-30|SUV|Red|37211|27995.00
10097|2018|Chevrolet|Trax|SUV|Blue|72342|15995.00
10098|2015|Hyundai|Accent|Sedan|Gray|127654|7995.00
10099|2017|Toyota|Tundra|Truck|White|91342|33995.00
10100|2012|Ford|Flex|SUV|Black|149876|10995.00
10101|2021|Honda|Insight|Sedan|Silver|26311|29995.00
10102|2014|Kia|Forte|Sedan|Blue|131221|8995.00
10103|2018|Jeep|Compass|SUV|Gray|69342|18995.00
10104|2010|Toyota|Matrix|Hatchback|Red|171998|6495.00
10105|2019|Ford|EcoSport|SUV|White|55211|19995.00
10106|2015|Chevrolet|Volt|Sedan|Silver|118876|14995.00
10107|2020|Subaru|Ascent|SUV|Black|42121|34995.00
10108|2011|Honda|Accord|Sedan|Gray|163221|6995.00
10109|2017|Mazda|MX-5 Miata|Convertible|Red|59221|25995.00
10110|2013|Nissan|Quest|Van|Blue|142332|8995.00
10111|2022|Chevrolet|Silverado|Truck|Black|12111|48995.00
10112|2016|Toyota|86|Coupe|Orange|84211|22995.00
10113|2018|Ford|Fusion|Sedan|White|71322|17995.00
10114|2014|Hyundai|Veloster|Hatchback|Yellow|122876|11995.00
10115|2010|Jeep|Patriot|SUV|Green|169221|5995.00
10116|2021|Ram|1500|Truck|Gray|29111|42995.00
10117|2015|Honda|CR-Z|Coupe|Blue|111342|13995.00
10118|2019|Toyota|CH-R|SUV|Silver|52121|23995.00
10119|2012|Ford|Fiesta|Sedan|Red|146998|6995.00
10120|2017|Chevrolet|Camaro|Coupe|Black|78432|28995.00
10121|2020|Nissan|Armada|SUV|White|43221|36995.00
10122|2014|Subaru|WRX|Sedan|Blue|119876|21995.00
10123|2011|Mazda|5|Van|Gray|157221|6495.00
10124|2018|Honda|Clarity|Sedan|Silver|65342|21995.00
10125|2013|Toyota|FJ Cruiser|SUV|Yellow|138998|25995.00
10126|2022|Ford|Maverick|Truck|Blue|10121|35995.00
10127|2016|Chevrolet|Impala|Sedan|White|103432|15995.00
10128|2019|Kia|Stinger|Sedan|Red|47211|32995.00
10129|2015|Jeep|Renegade|SUV|Orange|112998|14995.00
10130|2017|Toyota|Land Cruiser|SUV|Black|92321|54995.00
10131|2010|Ford|Crown Victoria|Sedan|Silver|194221|5495.00
10132|2021|Honda|Civic|Sedan|Gray|22311|27995.00
10133|2014|Nissan|Juke|SUV|White|128876|10995.00
10134|2018|Chevrolet|Bolt|Hatchback|Blue|58211|22995.00
10135|2012|Subaru|XV Crosstrek|SUV|Green|145332|11995.00
10136|2019|Mazda|3|Sedan|Red|49221|24995.00
10137|2016|Toyota|Prius C|Hatchback|Silver|109221|16995.00
10138|2011|Ford|Expedition|SUV|Black|181998|11995.00
10139|2020|Jeep|Gladiator|Truck|Gray|38121|41995.00
10140|2015|Honda|Fit|Hatchback|Blue|117654|11995.00
10141|2017|Ram|2500|Truck|White|83421|36995.00
10142|2013|Chevrolet|Traverse|SUV|Silver|141221|10995.00
10143|2022|Toyota|Supra|Coupe|Yellow|8211|58995.00
10144|2018|Ford|Edge|SUV|Blue|67211|21995.00
10145|2010|Kia|Sedona|Van|Gray|173432|5995.00
10146|2019|Subaru|BRZ|Coupe|Red|45121|28995.00
10147|2016|Mazda|CX-3|SUV|White|101998|14995.00
10148|2012|Honda|Pilot|SUV|Black|152221|9995.00
10149|2021|Chevrolet|Trailblazer|SUV|Blue|27211|29995.00
10150|2015|Toyota|Avalon|Sedan|Silver|114876|17995.00
10151|2017|Ford|Raptor|Truck|Gray|74321|49995.00
10152|2013|Nissan|Titan|Truck|White|139998|15995.00
10153|2020|Hyundai|Venue|SUV|Green|33111|21995.00
10154|2014|Jeep|Compass|SUV|Red|126221|10995.00
10155|2018|Honda|Odyssey|Van|Silver|68211|26995.00
10156|2011|Toyota|Camry|Sedan|Blue|167432|7995.00
10157|2022|Ford|Explorer|SUV|Black|14211|42995.00
10158|2016|Chevrolet|Tahoe|SUV|White|108998|29995.00
10159|2019|Mazda|CX-5|SUV|Gray|52111|28995.00
10160|2015|Subaru|Forester|SUV|Green|121221|15995.00
10161|2012|Ram|1500|Truck|Silver|149998|16995.00
10162|2021|Toyota|Tacoma|Truck|Blue|28111|39995.00
10163|2017|Honda|Passport|SUV|White|76321|24995.00
10164|2014|Ford|Escape|SUV|Gray|132432|12995.00
10165|2010|Chevrolet|HHR|Wagon|Red|188221|4995.00
10166|2018|Jeep|Wrangler|SUV|Black|61211|35995.00
10167|2013|Kia|Sorento|SUV|Blue|141876|11995.00
10168|2020|Nissan|Kicks|SUV|Silver|39211|23995.00
10169|2015|Toyota|RAV4|SUV|White|112221|18995.00
10170|2019|Ford|Mustang|Coupe|Yellow|46211|33995.00
10171|2011|Honda|Ridgeline|Truck|Gray|164998|9995.00
10172|2022|Chevrolet|Traverse|SUV|Blue|13111|38995.00
10173|2016|Mazda|6|Sedan|White|103221|16995.00
10174|2018|Subaru|Outback|SUV|Green|65111|25995.00
10175|2014|Jeep|Cherokee|SUV|Black|129998|14995.00
10176|2020|Toyota|Highlander|SUV|Silver|35121|34995.00
10177|2017|Ford|Fusion|Sedan|Blue|79211|15995.00
10178|2012|Chevrolet|Cruze|Sedan|Red|148876|7995.00
10179|2021|Honda|Pilot|SUV|White|24111|36995.00
10180|2015|Nissan|Altima|Sedan|Gray|119998|11995.00
10181|2019|Kia|Soul|SUV|Orange|47111|21995.00
10182|2013|Toyota|Prius|Sedan|Blue|137221|12995.00
10183|2018|Ford|Escape|SUV|Silver|68221|19995.00
10184|2010|Mazda|Tribute|SUV|Green|176998|5495.00
10185|2022|Subaru|Forester|SUV|White|12111|35995.00
10186|2016|Honda|Civic|Sedan|Black|101876|15995.00
10187|2014|Ram|3500|Truck|Gray|122998|32995.00
10188|2020|Chevrolet|Equinox|SUV|Blue|39221|25995.00
10189|2011|Toyota|Sienna|Van|Silver|168221|9995.00
10190|2019|Jeep|Compass|SUV|White|51121|22995.00
10191|2015|Ford|Explorer|SUV|Red|117998|17995.00
10192|2018|Mazda|CX-9|SUV|Black|62111|27995.00
10193|2012|Honda|Accord|Sedan|Blue|152432|8995.00
10194|2021|Toyota|Camry|Sedan|Gray|22321|30995.00
10195|2016|Chevrolet|Silverado|Truck|White|108221|28995.00
10196|2013|Subaru|Legacy|Sedan|Silver|143998|9995.00
10197|2019|Ford|Edge|SUV|Blue|48211|26995.00
10198|2014|Nissan|Rogue|SUV|Gray|129221|12995.00
10199|2020|Honda|CR-V|SUV|Black|37111|29995.00
10200|2017|Toyota|4Runner|SUV|White|74121|37995.00
